part_num,name,part_cat_id,part_material
11211,Brick Special 1 x 2 with 2 Studs on 1 Side,5,Plastic
11477,Slope Curved 2 x 1 No Studs [1/2 Bow],37,Plastic
15068,Slope Curved 2 x 2 x 2/3,37,Plastic
15573,Plate Special 1 x 2 with 1 Stud with Groove and Inside Stud Holder (Jumper),9,Plastic
22385,Tile Special 2 x 3 Pentagonal,15,Plastic
2420,Plate 2 x 2 Corner,14,Plastic
29119,Slope Curved 2 x 1 with Stud Notch Right,37,Plastic
3001,Brick 2 x 4,11,Plastic
3002,Brick 2 x 3,11,Plastic
3003,Brick 2 x 2,11,Plastic
3004,Brick 1 x 2,11,Plastic
3005,Brick 1 x 1,11,Plastic
3020,Plate 2 x 4,14,Plastic
3021,Plate 2 x 3,14,Plastic
3022,Plate 2 x 2,14,Plastic
3023,Plate 1 x 2,14,Plastic
3024,Plate 1 x 1,14,Plastic
3037,Slope 45° 2 x 4,3,Plastic
30374,Bar 4L (Lightsaber Blade / Wand),32,Plastic
3039,Slope 45° 2 x 2,3,Plastic
3040b,Slope 45° 2 x 1 with Bottom Pin,3,Plastic
30414,Brick Special 1 x 4 with 4 Studs on One Side,5,Plastic
3044b,Slope 45° 2 x 1 Double with Ovoid Bottom Pin,3,Plastic
3048b,Slope 45° 2 x 1 Triple Smooth,3,Plastic
3068b,Tile 2 x 2 with Groove,19,Plastic
3069b,Tile 1 x 2 with Groove,19,Plastic
3070b,Tile 1 x 1 with Groove,19,Plastic
3298,Slope 33° 3 x 2,3,Plastic
3622,Brick 1 x 3,11,Plastic
3623,Plate 1 x 3,14,Plastic
3660,"Slope Inverted 45° 2 x 2 [Ovoid Bottom Pin, Bar-sized Stud Holes]",3,Plastic
3665,Slope Inverted 45° 2 x 1,3,Plastic
3794b,Plate Special 1 x 2 with 1 Stud with Groove (Jumper),9,Plastic
4070,Brick Special 1 x 1 with Headlight,5,Plastic
4286,Slope 33° 3 x 1,3,Plastic
85983,"Fairing, Motorcycle, Vintage",36,Plastic
85984,Slope 30° 1 x 2 x 2/3,3,Plastic
87079,Tile 2 x 4 with Groove,19,Plastic
87087,Brick Special 1 x 1 with Stud on 1 Side,5,Plastic
87580,Plate Special 2 x 2 with Groove and Center Stud (Jumper),9,Plastic
